random_forest_weight,weighted_mlp_weight,ft_transformer_weight,tabnet_v1_weight,rows,positive_rate_actual,positive_rate_predicted,average_probability,roc_auc,average_precision,log_loss,brier_score,accuracy,balanced_accuracy,precision,recall,f1,threshold
0.6,0.1,0.0,0.3,19980,0.10490490490490491,0.4216716716716717,0.47512939171920043,0.6703187985422596,0.2215525973108261,0.652417255439132,0.23030497338064493,0.6092592592592593,0.6261050326873268,0.16106824925816024,0.6474236641221374,0.2579602699363178,0.5
0.7,0.1,0.0,0.2,19980,0.10490490490490491,0.37462462462462465,0.46360997509850654,0.6701224259477104,0.22094046956236044,0.6343636604977192,0.2215188828403646,0.6478978978978979,0.6299988710109766,0.17007348029392116,0.6073473282442748,0.26573426573426573,0.5
0.4,0.0,0.2,0.4,19980,0.10490490490490491,0.4741741741741742,0.489939139438547,0.6700796886978168,0.2239612857912235,0.6804649134081873,0.24376966269770042,0.5652652652652652,0.6194302852479336,0.15220603757652523,0.6879770992366412,0.24926534140017287,0.5
0.5,0.1,0.2,0.2,19980,0.10490490490490491,0.41266266266266266,0.4723745359789518,0.6694976937891519,0.2282064710426666,0.6504198943160198,0.22938971586952173,0.6157657657657658,0.6244747746717182,0.16155245603395998,0.6354961832061069,0.257615317667537,0.5
0.4,0.0,0.1,0.5,19980,0.10490490490490491,0.5116116116116116,0.4970762756190183,0.6694685086759284,0.22208047203332199,0.6913282197742063,0.24908746568015155,0.5333333333333333,0.6131756540453235,0.1464488358442575,0.7142175572519084,0.24305893813930832,0.5
0.4,0.1,0.2,0.3,19980,0.10490490490490491,0.4545045045045045,0.4838939525996457,0.6691046818257096,0.22806231584827646,0.6699867721698913,0.23876962875126753,0.5811311311311311,0.6202904724424236,0.15460852329038652,0.6698473282442748,0.2512302048850318,0.5
0.5,0.2,0.1,0.2,19980,0.10490490490490491,0.4186186186186186,0.47346648532052166,0.668885179895544,0.22983864250967925,0.6509356600203867,0.22961419179922135,0.6096096096096096,0.6206147633348756,0.15901482544237208,0.6345419847328244,0.25430210325047803,0.5
0.4,0.2,0.1,0.3,19980,0.10490490490490491,0.4615615615615616,0.4849859019412153,0.668511509072035,0.22933604373846814,0.6702358993868414,0.23894434667406642,0.5731731731731732,0.6139498331913382,0.1512687052700065,0.6655534351145038,0.24650998409613006,0.5
0.9,0.0,0.0,0.1,19980,0.10490490490490491,0.3054054054054054,0.44661632869602036,0.6684732002762501,0.2137825667287292,0.6094524304377139,0.20943834657930185,0.7034034034034033,0.6321531805477538,0.18616846935431006,0.5419847328244275,0.2771407660404977,0.5
0.6,0.1,0.2,0.1,19980,0.10490490490490491,0.37287287287287285,0.46085511935825796,0.6678917655937073,0.2273406333682162,0.6324504287975864,0.22077683943406956,0.6482482482482482,0.627246293330556,0.16899328859060403,0.6006679389312977,0.26377540331028704,0.5
0.5,0.1,0.0,0.4,19980,0.10490490490490491,0.47257257257257257,0.4866488083398942,0.6677485611258988,0.2201551949155361,0.6720611346862612,0.23985810036721897,0.5656656656656657,0.617126848852913,0.15145096377886041,0.6822519083969466,0.24787658172993587,0.5
0.9,0.0,0.1,0.0,19980,0.10490490490490491,0.2897897897897898,0.43947919251554907,0.6675043558914873,0.22076222400708037,0.599735521751372,0.20490822294424627,0.7144144144144144,0.6286167131352004,0.18825561312607944,0.5200381679389313,0.2764392594471215,0.5
0.3,0.1,0.2,0.4,19980,0.10490490490490491,0.4944944944944945,0.4954133692203394,0.6672370746763281,0.22770602492423478,0.6913027642093429,0.2489165780793069,0.5468468468468468,0.6131430008656293,0.1478744939271255,0.6970419847328244,0.2439879759519038,0.5
0.6,0.2,0.1,0.1,19980,0.10490490490490491,0.3756256256256256,0.46194706869982777,0.6669088355235863,0.2283784060750222,0.6331955795977398,0.22105107337066981,0.645995995995996,0.6270411438600925,0.16842105263157894,0.6030534351145038,0.2633059056348297,0.5
